Unity time	tracker time	eye ray x	eye ray y	 eye ray z	eye screen x	eye screen z	status 	 objX 	objY 	Target Size	Button	Spawn Angle	Kill Angle	Eye Moved
6.07	0	-0.7573904	0.6421311	0.118437	-145.7916	788.7098	1	3020.027	191.5256	1	0	0	0	False
6.08	0	-0.7574664	0.6420435	0.1184264	-145.7916	788.7098	1	3020.571	191.4205	1	0	0	0	False
6.09	0	-0.7575511	0.6419375	0.1184597	-145.7916	788.7098	1	3021.41	191.4408	1	0	0	0	False
6.1	0	-0.7575511	0.6419375	0.1184597	-145.7916	788.7098	1	3021.41	191.4408	1	0	0	0	False
6.11	0	-0.7576863	0.6417476	0.1186231	-145.7917	788.7098	1	3021.379	191.4979	1	0	0	0	False
6.12	0	-0.7577892	0.6415753	0.1188977	-145.7917	788.7098	1	3019.157	191.522	1	0	0	0	False
6.13	0	-0.7579116	0.6413581	0.1192891	-145.7916	788.7098	1	3016.216	191.645	1	0	0	0	False
6.14	0	-0.7579116	0.6413581	0.1192891	-145.7916	788.7098	1	3016.216	191.645	1	0	0	0	False
6.15	0	-0.758098	0.6410452	0.1197859	-145.7916	788.7098	1	3013.242	191.8524	1	0	0	0	False
6.16	0	-0.7582469	0.6407002	0.1206851	-145.7916	788.7098	1	3006.638	192.4436	1	0	0	0	False
6.17	0	-0.7582469	0.6407002	0.1206851	-145.7916	788.7098	1	3006.638	192.4436	1	0	0	0	False
6.18	0	-0.7583545	0.6403078	0.1220827	-145.7916	788.7098	1	2996.406	193.6227	1	0	0	0	False
6.19	0	-0.7581936	0.6399383	0.1249864	-145.7916	788.7098	1	2973.403	196.5498	1	0	0	0	False
6.2	0	-0.7579576	0.6394786	0.1287152	-145.7916	788.7098	1	2940.649	199.6438	1	0	0	0	False
6.21	0	-0.757426	0.6391907	0.1331955	-145.7916	788.7098	1	2902.666	203.8195	1	0	0	0	False
6.22	0	-0.757426	0.6391907	0.1331955	-145.7916	788.7098	1	2902.666	203.8195	1	0	0	0	False
6.23	0	-0.7568774	0.6386918	0.1385981	-145.7916	788.7098	1	2864.035	209.4917	1	0	0	0	False
6.24	0	-0.7563118	0.6380527	0.1445032	-145.7917	788.7098	1	2824.634	215.673	1	0	0	0	False
6.25	0	-0.7560681	0.6366999	0.1515732	-145.7916	788.7098	1	2786.439	223.3107	1	0	0	0	False
6.26	0	-0.7560681	0.6366999	0.1515732	-145.7916	788.7098	1	2786.439	223.3107	1	0	0	0	False
